Device Name,SN,Parent Device,Device SN,Updated Time,Production(kWh),Grid Feed-in(kWh),Consumption(kWh),Electricity Purchasing(kWh)
Inverter,2308020117,Logger,2792220252,2024/04/01,26.90,0.00,26.90,0.00
Inverter,2308020117,Logger,2792220252,2024/04/02,23.00,0.00,23.00,0.00
Inverter,2308020117,Logger,2792220252,2024/04/03,21.80,0.00,21.80,0.00
Inverter,2308020117,Logger,2792220252,2024/04/04,27.00,0.00,27.00,0.00
Inverter,2308020117,Logger,2792220252,2024/04/05,28.20,0.00,28.20,0.00
Inverter,2308020117,Logger,2792220252,2024/04/06,26.40,0.00,26.40,0.00
Inverter,2308020117,Logger,2792220252,2024/04/07,23.60,0.00,23.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/08,26.40,0.00,26.40,0.00
Inverter,2308020117,Logger,2792220252,2024/04/09,25.70,0.00,25.70,0.00
Inverter,2308020117,Logger,2792220252,2024/04/10,27.10,0.00,27.10,0.00
Inverter,2308020117,Logger,2792220252,2024/04/11,24.20,0.00,24.20,0.00
Inverter,2308020117,Logger,2792220252,2024/04/12,21.80,0.00,21.80,0.00
Inverter,2308020117,Logger,2792220252,2024/04/13,27.60,0.00,27.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/14,25.60,0.00,25.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/15,29.40,0.00,29.40,0.00
Inverter,2308020117,Logger,2792220252,2024/04/16,24.00,0.00,24.00,0.00
Inverter,2308020117,Logger,2792220252,2024/04/17,23.60,0.00,23.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/18,23.00,0.00,23.00,0.00
Inverter,2308020117,Logger,2792220252,2024/04/19,22.30,0.00,22.30,0.00
Inverter,2308020117,Logger,2792220252,2024/04/20,19.70,0.00,19.70,0.00
Inverter,2308020117,Logger,2792220252,2024/04/21,25.40,0.00,25.40,0.00
Inverter,2308020117,Logger,2792220252,2024/04/22,27.10,0.00,27.10,0.00
Inverter,2308020117,Logger,2792220252,2024/04/23,26.90,0.00,26.90,0.00
Inverter,2308020117,Logger,2792220252,2024/04/24,20.20,0.00,20.20,0.00
Inverter,2308020117,Logger,2792220252,2024/04/25,25.60,0.00,25.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/26,23.60,0.00,23.60,0.00
Inverter,2308020117,Logger,2792220252,2024/04/27,26.00,0.00,26.00,0.00
Inverter,2308020117,Logger,2792220252,2024/04/28,25.30,0.00,25.30,0.00
Inverter,2308020117,Logger,2792220252,2024/04/29,25.10,0.00,25.10,0.00
Inverter,2308020117,Logger,2792220252,2024/04/30,22.80,0.00,22.80,0.00
Inverter,2308020117,Logger,2792220252,2024/05/01,23.50,0.00,23.50,0.00
Inverter,2308020117,Logger,2792220252,2024/05/02,22.10,0.00,22.10,0.00
Inverter,2308020117,Logger,2792220252,2024/05/03,13.60,0.00,13.60,0.00
Inverter,2308020117,Logger,2792220252,2024/05/04,20.60,0.00,20.60,0.00
Inverter,2308020117,Logger,2792220252,2024/05/05,23.70,0.00,23.70,0.00
Inverter,2308020117,Logger,2792220252,2024/05/06,23.70,0.00,23.70,0.00
Inverter,2308020117,Logger,2792220252,2024/05/07,25.50,0.00,25.50,0.00
Inverter,2308020117,Logger,2792220252,2024/05/08,23.60,0.00,23.60,0.00
Inverter,2308020117,Logger,2792220252,2024/05/09,22.50,0.00,22.50,0.00
Inverter,2308020117,Logger,2792220252,2024/05/10,18.40,0.00,18.40,0.00
Inverter,2308020117,Logger,2792220252,2024/05/11,21.40,0.00,21.40,0.00
Inverter,2308020117,Logger,2792220252,2024/05/12,23.50,0.00,23.50,0.00
Inverter,2308020117,Logger,2792220252,2024/05/13,17.70,0.00,17.70,0.00
Inverter,2308020117,Logger,2792220252,2024/05/14,13.10,0.00,13.10,0.00
Inverter,2308020117,Logger,2792220252,2024/05/15,12.40,0.00,12.40,0.00
Inverter,2308020117,Logger,2792220252,2024/05/16,18.90,0.00,18.90,0.00
Inverter,2308020117,Logger,2792220252,2024/05/17,16.10,0.00,16.10,0.00
Inverter,2308020117,Logger,2792220252,2024/05/18,18.50,0.00,18.50,0.00
Inverter,2308020117,Logger,2792220252,2024/05/19,13.80,0.00,13.80,0.00
Inverter,2308020117,Logger,2792220252,2024/05/20,6.90,0.00,6.90,0.00
Inverter,2308020117,Logger,2792220252,2024/05/21,17.00,0.00,17.00,0.00
Inverter,2308020117,Logger,2792220252,2024/05/22,16.40,0.00,16.40,0.00
Inverter,2308020117,Logger,2792220252,2024/05/23,8.40,0.00,8.40,0.00
Inverter,2308020117,Logger,2792220252,2024/05/24,5.70,0.00,5.70,0.00
Inverter,2308020117,Logger,2792220252,2024/05/25,1.00,0.00,1.00,0.00
Inverter,2308020117,Logger,2792220252,2024/05/27,21.00,0.00,21.00,0.00
Inverter,2308020117,Logger,2792220252,2024/05/28,5.70,0.00,5.70,0.00
Inverter,2308020117,Logger,2792220252,2024/05/29,13.20,0.00,0.00,0.00
Inverter,2308020117,Logger,2792220252,2024/05/30,10.20,0.00,0.00,0.00
Inverter,2308020117,Logger,2792220252,2024/05/31,20.60,0.00,20.60,0.00
Inverter,2308020117,Logger,2792220252,2024/06/01,6.30,0.00,6.30,0.00
Inverter,2308020117,Logger,2792220252,2024/06/02,20.10,0.00,20.10,0.00
Inverter,2308020117,Logger,2792220252,2024/06/03,17.80,0.00,17.80,0.00
Inverter,2308020117,Logger,2792220252,2024/06/04,22.20,0.00,22.20,0.00
Inverter,2308020117,Logger,2792220252,2024/06/05,17.10,0.00,17.10,0.00
Inverter,2308020117,Logger,2792220252,2024/06/06,12.20,0.00,12.20,0.00
Inverter,2308020117,Logger,2792220252,2024/06/07,20.30,0.00,20.30,0.00
Inverter,2308020117,Logger,2792220252,2024/06/08,11.70,0.00,0.00,0.00
Inverter,2308020117,Logger,2792220252,2024/06/09,20.20,0.00,20.20,0.00
Inverter,2308020117,Logger,2792220252,2024/06/10,19.80,0.00,19.80,0.00
Inverter,2308020117,Logger,2792220252,2024/06/11,16.10,0.00,16.10,0.00
Inverter,2308020117,Logger,2792220252,2024/06/12,9.50,0.00,9.50,0.00
