Plant Name,date,Time Zone,Production-Today(kWh),Consumption-Today(kWh),Feed-in Power-Today(kWh),Energy Purchased-Today(kWh),Self-used Ratio(%),Anticipated Yield(INR),Production(kWh),Consumption(kWh),Grid Feed-in(kWh),Electricity Purchasing(kWh),temp_max_C,temp_min_C,precipitation_mm,temp_range,rain_flag,days_since_rain,day_of_week,month,day_of_week_sin,day_of_week_cos,month_sin,month_cos,prod_lag_1,cons_lag_1,temp_max_lag_1,temp_min_lag_1,precip_lag_1,rain_flag_lag_1,prod_lag_2,cons_lag_2,temp_max_lag_2,temp_min_lag_2,precip_lag_2,rain_flag_lag_2,prod_lag_3,cons_lag_3,temp_max_lag_3,temp_min_lag_3,precip_lag_3,rain_flag_lag_3,prod_lag_7,cons_lag_7,temp_max_lag_7,temp_min_lag_7,precip_lag_7,rain_flag_lag_7,prod_rollmean_3,prod_rollstd_3,tempmax_rollmean_3,tempmax_rollstd_3,prod_rollmean_7,prod_rollstd_7,tempmax_rollmean_7,tempmax_rollstd_7
Jayaraj,2024-04-01,UTC+05:30,26.9,26.9,0.0,0.0,100.0,207.13,26.9,26.9,0.0,0.0,34.9,25.3,1.0,9.599999999999998,1,0,0,4,0.0,1.0,0.8660254037844387,-0.49999999999999983,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,23.900000000000002,2.666458325194675,34.5,0.45825756949558355,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-02,UTC+05:30,23.0,23.0,0.0,0.0,100.0,177.1,23.0,23.0,0.0,0.0,34.6,25.3,1.7,9.3,1,0,1,4,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.49999999999999983,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,23.900000000000002,2.666458325194675,34.5,0.45825756949558355,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-03,UTC+05:30,21.8,21.8,0.0,0.0,100.0,167.86,21.8,21.8,0.0,0.0,34.0,23.7,4.5,10.3,1,0,2,4,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.49999999999999983,23.0,23.0,34.6,25.3,1.7,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,23.900000000000002,2.666458325194675,34.5,0.45825756949558355,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-04,UTC+05:30,27.0,27.0,0.0,0.0,100.0,207.9,27.0,27.0,0.0,0.0,36.8,25.4,8.0,11.399999999999999,1,0,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983,21.8,21.8,34.0,23.7,4.5,1.0,23.0,23.0,34.6,25.3,1.7,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,23.933333333333334,2.722743714221617,35.13333333333333,1.4742229591663978,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-05,UTC+05:30,28.2,28.2,0.0,0.0,100.0,217.14,28.2,28.2,0.0,0.0,36.3,24.3,0.0,11.999999999999996,0,1,4,4,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.49999999999999983,27.0,27.0,36.8,25.4,8.0,1.0,21.8,21.8,34.0,23.7,4.5,1.0,23.0,23.0,34.6,25.3,1.7,1.0,26.9,26.9,34.9,25.3,1.0,1.0,25.666666666666668,3.4019602192461527,35.699999999999996,1.4933184523068075,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-06,UTC+05:30,26.4,26.4,0.0,0.0,100.0,203.28,26.4,26.4,0.0,0.0,37.3,25.7,0.0,11.599999999999998,0,2,5,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.49999999999999983,28.2,28.2,36.3,24.3,0.0,0.0,27.0,27.0,36.8,25.4,8.0,1.0,21.8,21.8,34.0,23.7,4.5,1.0,26.9,26.9,34.9,25.3,1.0,1.0,27.2,0.9165151389911772,36.8,0.5000000000000064,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-07,UTC+05:30,23.6,23.6,0.0,0.0,100.0,181.72,23.6,23.6,0.0,0.0,35.4,24.6,3.9,10.799999999999997,1,0,6,4,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.49999999999999983,26.4,26.4,37.3,25.7,0.0,0.0,28.2,28.2,36.3,24.3,0.0,0.0,27.0,27.0,36.8,25.4,8.0,1.0,26.9,26.9,34.9,25.3,1.0,1.0,26.066666666666666,2.3180451534284945,36.333333333333336,0.9504384952922187,25.271428571428572,2.432224143806299,35.614285714285714,1.218508065119759
Jayaraj,2024-04-08,UTC+05:30,26.4,26.4,0.0,0.0,100.0,203.28,26.4,26.4,0.0,0.0,37.1,24.2,0.1,12.900000000000002,1,0,0,4,0.0,1.0,0.8660254037844387,-0.49999999999999983,23.6,23.6,35.4,24.6,3.9,1.0,26.4,26.4,37.3,25.7,0.0,0.0,28.2,28.2,36.3,24.3,0.0,0.0,26.9,26.9,34.9,25.3,1.0,1.0,25.46666666666667,1.6165807537309498,36.6,1.0440306508910588,25.199999999999996,2.3832750575625967,35.92857142857143,1.2854497082270258
Jayaraj,2024-04-09,UTC+05:30,25.7,25.7,0.0,0.0,100.0,197.89,25.7,25.7,0.0,0.0,39.2,25.2,0.0,14.000000000000004,0,1,1,4,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.49999999999999983,26.4,26.4,37.1,24.2,0.1,1.0,23.6,23.6,35.4,24.6,3.9,1.0,26.4,26.4,37.3,25.7,0.0,0.0,23.0,23.0,34.6,25.3,1.7,1.0,25.233333333333334,1.4571661996262897,37.233333333333334,1.9035055380359054,25.585714285714285,2.1774821632859758,36.58571428571429,1.6242214252050824
Jayaraj,2024-04-10,UTC+05:30,27.1,27.1,0.0,0.0,100.0,208.67,27.1,27.1,0.0,0.0,39.4,25.7,1.0,13.7,1,0,2,4,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.49999999999999983,25.7,25.7,39.2,25.2,0.0,0.0,26.4,26.4,37.1,24.2,0.1,1.0,23.6,23.6,35.4,24.6,3.9,1.0,21.8,21.8,34.0,23.7,4.5,1.0,26.400000000000002,0.7000000000000116,38.56666666666667,1.2741009902411107,26.342857142857145,1.437424946280844,37.357142857142854,1.4661254412647615
