Plant Name,Updated Time,Time Zone,Production-Today(kWh),Consumption-Today(kWh),Feed-in Power-Today(kWh),Energy Purchased-Today(kWh),Self-used Ratio(%),Anticipated Yield(INR)
Jayaraj,2024/04/01,UTC+05:30,26.90,26.90,0.00,0.00,,207.13
Jayaraj,2024/04/02,UTC+05:30,23.00,23.00,0.00,0.00,,177.10
Jayaraj,2024/04/03,UTC+05:30,21.80,21.80,0.00,0.00,,167.86
Jayaraj,2024/04/04,UTC+05:30,27.00,27.00,0.00,0.00,,207.90
Jayaraj,2024/04/05,UTC+05:30,28.20,28.20,0.00,0.00,,217.14
Jayaraj,2024/04/06,UTC+05:30,26.40,26.40,0.00,0.00,,203.28
Jayaraj,2024/04/07,UTC+05:30,23.60,23.60,0.00,0.00,,181.72
Jayaraj,2024/04/08,UTC+05:30,26.40,26.40,0.00,0.00,,203.28
Jayaraj,2024/04/09,UTC+05:30,25.70,25.70,0.00,0.00,,197.89
Jayaraj,2024/04/10,UTC+05:30,27.10,27.10,0.00,0.00,,208.67
Jayaraj,2024/04/11,UTC+05:30,24.20,24.20,0.00,0.00,,186.34
Jayaraj,2024/04/12,UTC+05:30,21.80,21.80,0.00,0.00,,167.86
Jayaraj,2024/04/13,UTC+05:30,27.60,27.60,0.00,0.00,,212.52
Jayaraj,2024/04/14,UTC+05:30,25.60,25.60,0.00,0.00,,197.12
Jayaraj,2024/04/15,UTC+05:30,29.40,29.40,0.00,0.00,,226.38
Jayaraj,2024/04/16,UTC+05:30,24.00,24.00,0.00,0.00,,184.80
Jayaraj,2024/04/17,UTC+05:30,23.60,23.60,0.00,0.00,,181.72
Jayaraj,2024/04/18,UTC+05:30,23.00,23.00,0.00,0.00,,177.10
Jayaraj,2024/04/19,UTC+05:30,22.30,22.30,0.00,0.00,,171.71
Jayaraj,2024/04/20,UTC+05:30,19.70,19.70,0.00,0.00,,151.69
Jayaraj,2024/04/21,UTC+05:30,25.40,25.40,0.00,0.00,,195.58
Jayaraj,2024/04/22,UTC+05:30,27.10,27.10,0.00,0.00,,208.67
Jayaraj,2024/04/23,UTC+05:30,26.90,26.90,0.00,0.00,,207.13
Jayaraj,2024/04/24,UTC+05:30,20.20,20.20,0.00,0.00,,155.54
Jayaraj,2024/04/25,UTC+05:30,25.60,25.60,0.00,0.00,,197.12
Jayaraj,2024/04/26,UTC+05:30,23.60,23.60,0.00,0.00,,181.72
Jayaraj,2024/04/27,UTC+05:30,26.00,26.00,0.00,0.00,,200.20
Jayaraj,2024/04/28,UTC+05:30,25.30,25.30,0.00,0.00,,194.81
Jayaraj,2024/04/29,UTC+05:30,25.10,25.10,0.00,0.00,,193.27
Jayaraj,2024/04/30,UTC+05:30,22.80,22.80,0.00,0.00,,175.56
Jayaraj,2024/05/01,UTC+05:30,23.50,23.50,0.00,0.00,,180.95
Jayaraj,2024/05/02,UTC+05:30,22.10,22.10,0.00,0.00,,170.17
Jayaraj,2024/05/03,UTC+05:30,13.60,13.60,0.00,0.00,,104.72
Jayaraj,2024/05/04,UTC+05:30,20.60,20.60,0.00,0.00,,158.62
Jayaraj,2024/05/05,UTC+05:30,23.70,23.70,0.00,0.00,,182.49
Jayaraj,2024/05/06,UTC+05:30,23.70,23.70,0.00,0.00,,182.49
Jayaraj,2024/05/07,UTC+05:30,25.50,25.50,0.00,0.00,,196.35
Jayaraj,2024/05/08,UTC+05:30,23.60,23.60,0.00,0.00,,181.72
Jayaraj,2024/05/09,UTC+05:30,22.50,22.50,0.00,0.00,,173.25
Jayaraj,2024/05/10,UTC+05:30,18.40,18.40,0.00,0.00,,141.68
Jayaraj,2024/05/11,UTC+05:30,21.40,21.40,0.00,0.00,,164.78
Jayaraj,2024/05/12,UTC+05:30,23.50,23.50,0.00,0.00,,180.95
Jayaraj,2024/05/13,UTC+05:30,17.70,17.70,0.00,0.00,,136.29
Jayaraj,2024/05/14,UTC+05:30,13.10,13.10,0.00,0.00,,100.87
Jayaraj,2024/05/15,UTC+05:30,12.40,12.40,0.00,0.00,,95.48
Jayaraj,2024/05/16,UTC+05:30,18.90,18.90,0.00,0.00,,145.53
Jayaraj,2024/05/17,UTC+05:30,16.10,16.10,0.00,0.00,,123.97
Jayaraj,2024/05/18,UTC+05:30,18.50,18.50,0.00,0.00,,142.45
Jayaraj,2024/05/19,UTC+05:30,13.80,13.80,0.00,0.00,,106.26
Jayaraj,2024/05/20,UTC+05:30,6.90,6.90,0.00,0.00,,53.13
Jayaraj,2024/05/21,UTC+05:30,17.00,17.00,0.00,0.00,,130.90
Jayaraj,2024/05/22,UTC+05:30,16.40,16.40,0.00,0.00,,126.28
Jayaraj,2024/05/23,UTC+05:30,8.40,8.40,0.00,0.00,,64.68
Jayaraj,2024/05/24,UTC+05:30,5.70,5.70,0.00,0.00,,43.89
Jayaraj,2024/05/25,UTC+05:30,1.00,1.00,0.00,0.00,,7.70
Jayaraj,2024/05/27,UTC+05:30,21.00,21.00,0.00,0.00,,161.70
Jayaraj,2024/05/28,UTC+05:30,5.70,5.70,0.00,0.00,,43.89
Jayaraj,2024/05/29,UTC+05:30,13.20,0.00,0.00,0.00,,101.64
Jayaraj,2024/05/30,UTC+05:30,10.20,0.00,0.00,0.00,,78.54
Jayaraj,2024/05/31,UTC+05:30,20.60,20.60,0.00,0.00,,158.62
Jayaraj,2024/06/01,UTC+05:30,6.30,6.30,0.00,0.00,,48.51
Jayaraj,2024/06/02,UTC+05:30,20.10,20.10,0.00,0.00,,154.77
Jayaraj,2024/06/03,UTC+05:30,17.80,17.80,0.00,0.00,,137.06
Jayaraj,2024/06/04,UTC+05:30,22.20,22.20,0.00,0.00,,170.94
Jayaraj,2024/06/05,UTC+05:30,17.10,17.10,0.00,0.00,,131.67
Jayaraj,2024/06/06,UTC+05:30,12.20,12.20,0.00,0.00,,93.94
Jayaraj,2024/06/07,UTC+05:30,20.30,20.30,0.00,0.00,,156.31
Jayaraj,2024/06/08,UTC+05:30,11.70,0.00,0.00,0.00,,90.09
Jayaraj,2024/06/09,UTC+05:30,20.20,20.20,0.00,0.00,,155.54
Jayaraj,2024/06/10,UTC+05:30,19.80,19.80,0.00,0.00,,152.46
Jayaraj,2024/06/11,UTC+05:30,16.10,16.10,0.00,0.00,,123.97
Jayaraj,2024/06/12,UTC+05:30,9.50,9.50,0.00,0.00,,73.15
Jayaraj,2024/06/13,UTC+05:30,20.40,20.40,0.00,0.00,,157.08
Jayaraj,2024/06/14,UTC+05:30,21.90,21.90,0.00,0.00,,168.63
Jayaraj,2024/06/15,UTC+05:30,22.70,22.70,0.00,0.00,,174.79
Jayaraj,2024/06/16,UTC+05:30,23.20,23.20,0.00,0.00,,178.64
Jayaraj,2024/06/17,UTC+05:30,20.30,20.30,0.00,0.00,,156.31
Jayaraj,2024/06/18,UTC+05:30,0.30,0.30,0.00,0.00,,2.31
Jayaraj,2024/06/19,UTC+05:30,14.40,14.40,0.00,0.00,,110.88
Jayaraj,2024/06/20,UTC+05:30,9.70,9.70,0.00,0.00,,74.69
Jayaraj,2024/06/21,UTC+05:30,14.60,14.60,0.00,0.00,,112.42
Jayaraj,2024/06/22,UTC+05:30,17.90,0.00,0.00,0.00,,137.83
Jayaraj,2024/06/23,UTC+05:30,14.90,14.90,0.00,0.00,,114.73
Jayaraj,2024/06/24,UTC+05:30,13.10,13.10,0.00,0.00,,100.87
Jayaraj,2024/06/25,UTC+05:30,9.70,9.70,0.00,0.00,,74.69
Jayaraj,2024/06/26,UTC+05:30,13.80,13.80,0.00,0.00,,106.26
Jayaraj,2024/06/27,UTC+05:30,11.70,11.70,0.00,0.00,,90.09
Jayaraj,2024/06/28,UTC+05:30,16.10,16.10,0.00,0.00,,123.97
Jayaraj,2024/06/29,UTC+05:30,19.40,19.40,0.00,0.00,,149.38
Jayaraj,2024/06/30,UTC+05:30,11.20,11.20,0.00,0.00,,86.24
Jayaraj,2024/07/01,UTC+05:30,8.00,8.00,0.00,0.00,,61.60
Jayaraj,2024/07/02,UTC+05:30,22.40,22.40,0.00,0.00,,172.48
Jayaraj,2024/07/03,UTC+05:30,14.30,14.30,0.00,0.00,,110.11
Jayaraj,2024/07/04,UTC+05:30,23.50,23.50,0.00,0.00,,180.95
Jayaraj,2024/07/05,UTC+05:30,14.10,14.10,0.00,0.00,,108.57
Jayaraj,2024/07/06,UTC+05:30,17.00,17.00,0.00,0.00,,130.90
Jayaraj,2024/07/07,UTC+05:30,15.10,15.10,0.00,0.00,,116.27
Jayaraj,2024/07/09,UTC+05:30,17.30,17.30,0.00,0.00,,133.21
Jayaraj,2024/07/10,UTC+05:30,22.90,22.90,0.00,0.00,,176.33
Jayaraj,2024/07/11,UTC+05:30,20.00,20.00,0.00,0.00,,154.00
Jayaraj,2024/07/12,UTC+05:30,14.10,14.10,0.00,0.00,,108.57
Jayaraj,2024/07/13,UTC+05:30,21.00,0.00,0.00,0.00,,161.70
Jayaraj,2024/07/14,UTC+05:30,11.10,0.00,0.00,0.00,,85.47
Jayaraj,2024/07/15,UTC+05:30,6.10,6.10,0.00,0.00,,46.97
Jayaraj,2024/07/16,UTC+05:30,9.80,9.80,0.00,0.00,,75.46
Jayaraj,2024/07/17,UTC+05:30,7.80,7.80,0.00,0.00,,60.06
Jayaraj,2024/07/18,UTC+05:30,6.60,6.60,0.00,0.00,,50.82
Jayaraj,2024/07/19,UTC+05:30,15.80,15.80,0.00,0.00,,121.66
Jayaraj,2024/07/20,UTC+05:30,17.60,17.60,0.00,0.00,,135.52
Jayaraj,2024/07/21,UTC+05:30,22.70,22.70,0.00,0.00,,174.79
Jayaraj,2024/07/22,UTC+05:30,9.00,9.00,0.00,0.00,,69.30
Jayaraj,2024/07/23,UTC+05:30,12.10,12.10,0.00,0.00,,93.17
Jayaraj,2024/07/24,UTC+05:30,19.70,19.70,0.00,0.00,,151.69
Jayaraj,2024/07/25,UTC+05:30,11.30,11.30,0.00,0.00,,87.01
Jayaraj,2024/07/26,UTC+05:30,18.00,18.00,0.00,0.00,,138.60
Jayaraj,2024/07/27,UTC+05:30,20.80,20.80,0.00,0.00,,160.16
